Well_Num,region_name,trend_line_slope,trend_line_int,state,category,period,month,time_scale
088,Cariboo,0.123,11.6278,Stable,Stable or Increasing,Monthly,Mar,All
233,West Coast,-0.0855,32.5949,Stable,Stable or Increasing,Monthly,Mar,All
089,Skeena,0.0296,31.1173,Stable,Stable or Increasing,Monthly,Mar,All
061,West Coast,-0.0123,7.5058,Stable,Stable or Increasing,Monthly,Mar,All
096,Thompson / Okanagan,0.0041,4.1998,Stable,Stable or Increasing,Monthly,Mar,All
154,Thompson / Okanagan,0.0266,3.4814,Stable,Stable or Increasing,Monthly,Mar,All
152,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
484,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
299,South Coast,-0.0056,2.2909,Stable,Stable or Increasing,Monthly,Mar,All
115,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
117,Thompson / Okanagan,0.0108,15.9523,Stable,Stable or Increasing,Monthly,Mar,All
118,Thompson / Okanagan,0.0278,13.4284,Stable,Stable or Increasing,Monthly,Mar,All
122,Thompson / Okanagan,-0.013,1.1018,Stable,Stable or Increasing,Monthly,Mar,All
015,South Coast,-0.0956,12.7275,Stable,Stable or Increasing,Monthly,Mar,All
128,West Coast,-0,0.625,Stable,Stable or Increasing,Monthly,Mar,All
124,Northeast,-0.0066,19.3161,Stable,Stable or Increasing,Monthly,Mar,All
326,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
065,West Coast,-0.005,1.6107,Stable,Stable or Increasing,Monthly,Mar,All
008,South Coast,0.0197,16.9288,Stable,Stable or Increasing,Monthly,Mar,All
196,West Coast,-0.0059,1.305,Stable,Stable or Increasing,Monthly,Mar,All
002,South Coast,-0.0237,12.072,Stable,Stable or Increasing,Monthly,Mar,All
200,Skeena,0.0707,22.9756,Stable,Stable or Increasing,Monthly,Mar,All
201,West Coast,-0.0044,6.4193,Stable,Stable or Increasing,Monthly,Mar,All
328,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
265,West Coast,-0.0326,5.6244,Stable,Stable or Increasing,Monthly,Mar,All
185,Thompson / Okanagan,0.0153,4.0761,Stable,Stable or Increasing,Monthly,Mar,All
240,West Coast,0.0656,2.7684,Moderate Rate of Decline,Moderate Rate of Decline,Monthly,Mar,All
232,West Coast,0.0267,2.3384,Stable,Stable or Increasing,Monthly,Mar,All
180,Thompson / Okanagan,0.0647,5.8033,Moderate Rate of Decline,Moderate Rate of Decline,Monthly,Mar,All
397,West Coast,-0.7106,43.5723,Stable,Stable or Increasing,Monthly,Mar,All
203,Thompson / Okanagan,0.0048,24.0884,Stable,Stable or Increasing,Monthly,Mar,All
204,West Coast,0.0151,1.5908,Stable,Stable or Increasing,Monthly,Mar,All
211,West Coast,0.0305,1.8875,Moderate Rate of Decline,Moderate Rate of Decline,Monthly,Mar,All
338,West Coast,-0.015,31.3035,Stable,Stable or Increasing,Monthly,Mar,All
446,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
310,West Coast,0.0211,6.8383,Stable,Stable or Increasing,Monthly,Mar,All
197,West Coast,0.0286,3.9824,Stable,Stable or Increasing,Monthly,Mar,All
344,Thompson / Okanagan,0.0163,3.1483,Stable,Stable or Increasing,Monthly,Mar,All
346,Thompson / Okanagan,0.0706,1.383,Moderate Rate of Decline,Moderate Rate of Decline,Monthly,Mar,All
320,West Coast,-0.0277,24.1054,Stable,Stable or Increasing,Monthly,Mar,All
236,Thompson / Okanagan,0.0654,20.3865,Stable,Stable or Increasing,Monthly,Mar,All
255,South Coast,-0.0068,2.5282,Stable,Stable or Increasing,Monthly,Mar,All
303,West Coast,-0.0221,22.2019,Stable,Stable or Increasing,Monthly,Mar,All
408,South Coast,0.0123,21.811,Stable,Stable or Increasing,Monthly,Mar,All
262,Thompson / Okanagan,0.0489,54.7405,Stable,Stable or Increasing,Monthly,Mar,All
258,West Coast,0.0491,7.4851,Stable,Stable or Increasing,Monthly,Mar,All
260,Cariboo,-0.0606,65.8301,Increasing,Stable or Increasing,Monthly,Mar,All
259,South Coast,0.0112,0.5688,Stable,Stable or Increasing,Monthly,Mar,All
275,South Coast,-0.0085,4.7884,Stable,Stable or Increasing,Monthly,Mar,All
261,Cariboo,0.0172,25.7745,Stable,Stable or Increasing,Monthly,Mar,All
380,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
321,West Coast,0.1595,6.6756,Large Rate of Decline,Large Rate of Decline,Monthly,Mar,All
290,West Coast,0.0127,0.3523,Stable,Stable or Increasing,Monthly,Mar,All
272,South Coast,-0.0283,5.5674,Stable,Stable or Increasing,Monthly,Mar,All
047,Thompson / Okanagan,-0.002,7.8178,Stable,Stable or Increasing,Monthly,Mar,All
376,Cariboo,-0.1454,6.9119,Increasing,Stable or Increasing,Monthly,Mar,All
399,Thompson / Okanagan,-0.0315,1.5722,Stable,Stable or Increasing,Monthly,Mar,All
282,Thompson / Okanagan,0.0086,9.0317,Stable,Stable or Increasing,Monthly,Mar,All
284,West Coast,0.0414,0.3809,Moderate Rate of Decline,Moderate Rate of Decline,Monthly,Mar,All
283,West Coast,0.0116,4.2359,Stable,Stable or Increasing,Monthly,Mar,All
286,Northeast,0.1346,10.098,Large Rate of Decline,Large Rate of Decline,Monthly,Mar,All
289,Cariboo,-0.0712,11.0363,Increasing,Stable or Increasing,Monthly,Mar,All
287,West Coast,0.0939,2.4393,Moderate Rate of Decline,Moderate Rate of Decline,Monthly,Mar,All
288,West Coast,0.0555,11.2251,Moderate Rate of Decline,Moderate Rate of Decline,Monthly,Mar,All
305,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
291,Kootenay / Boundary,-0.1345,13.7766,Stable,Stable or Increasing,Monthly,Mar,All
292,South Coast,0.0079,9.4585,Stable,Stable or Increasing,Monthly,Mar,All
293,Omineca,-0.0029,9.2446,Stable,Stable or Increasing,Monthly,Mar,All
294,Thompson / Okanagan,0.0074,8.9465,Stable,Stable or Increasing,Monthly,Mar,All
343,West Coast,0.0028,6.5879,Stable,Stable or Increasing,Monthly,Mar,All
296,Thompson / Okanagan,0.0012,4.2385,Stable,Stable or Increasing,Monthly,Mar,All
297,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
302,Thompson / Okanagan,-0.0088,8.6979,Stable,Stable or Increasing,Monthly,Mar,All
304,West Coast,-0.1035,9.5967,Stable,Stable or Increasing,Monthly,Mar,All
301,South Coast,0.0116,16.4864,Stable,Stable or Increasing,Monthly,Mar,All
306,Kootenay / Boundary,-0,5.6556,Stable,Stable or Increasing,Monthly,Mar,All
333,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
313,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
309,Kootenay / Boundary,-0.014,24.6719,Stable,Stable or Increasing,Monthly,Mar,All
311,Thompson / Okanagan,-0.0854,20.2949,Stable,Stable or Increasing,Monthly,Mar,All
319,West Coast,-0.0195,15.235900000000001,Stable,Stable or Increasing,Monthly,Mar,All
312,West Coast,0.0133,2.9477,Stable,Stable or Increasing,Monthly,Mar,All
318,West Coast,-0.0392,5.1677,Increasing,Stable or Increasing,Monthly,Mar,All
314,West Coast,-0.1111,7.4017,Stable,Stable or Increasing,Monthly,Mar,All
494,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
341,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
329,West Coast,0.0192,3.7939,Stable,Stable or Increasing,Monthly,Mar,All
281,West Coast,-0.0023,5.834,Stable,Stable or Increasing,Monthly,Mar,All
264,Thompson / Okanagan,-0.0118,30.7194,Stable,Stable or Increasing,Monthly,Mar,All
268,West Coast,0.0102,-0.6761,Stable,Stable or Increasing,Monthly,Mar,All
332,Thompson / Okanagan,0.0031,18.1422,Stable,Stable or Increasing,Monthly,Mar,All
447,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
334,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
337,West Coast,-0.0207,10.8375,Stable,Stable or Increasing,Monthly,Mar,All
340,West Coast,0.0312,21.2463,Stable,Stable or Increasing,Monthly,Mar,All
335,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
394,West Coast,0.0378,11.4621,Stable,Stable or Increasing,Monthly,Mar,All
396,West Coast,-0.0231,0.9529,Stable,Stable or Increasing,Monthly,Mar,All
342,Omineca,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
345,West Coast,0.0783,49.0025,Moderate Rate of Decline,Moderate Rate of Decline,Monthly,Mar,All
347,Cariboo,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
348,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
422,Thompson / Okanagan,-0.053900000000000003,9.7989,Stable,Stable or Increasing,Monthly,Mar,All
349,South Coast,0.0155,2.0011,Stable,Stable or Increasing,Monthly,Mar,All
351,West Coast,-0.0325,8.7381,Increasing,Stable or Increasing,Monthly,Mar,All
356,Thompson / Okanagan,-0.1091,8.5392,Stable,Stable or Increasing,Monthly,Mar,All
355,West Coast,0.0085,3.794,Stable,Stable or Increasing,Monthly,Mar,All
372,West Coast,-0.2853,55.4254,Stable,Stable or Increasing,Monthly,Mar,All
368,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
369,West Coast,0.0065,0.9126,Stable,Stable or Increasing,Monthly,Mar,All
371,West Coast,0.0173,4.0843,Stable,Stable or Increasing,Monthly,Mar,All
359,South Coast,0.2203,26.9976,Large Rate of Decline,Large Rate of Decline,Monthly,Mar,All
357,South Coast,-0.0086,9.5516,Stable,Stable or Increasing,Monthly,Mar,All
354,South Coast,-0.0574,11.2912,Stable,Stable or Increasing,Monthly,Mar,All
353,South Coast,-0.0044,3.9155,Stable,Stable or Increasing,Monthly,Mar,All
352,South Coast,0.0089,2.697,Stable,Stable or Increasing,Monthly,Mar,All
361,South Coast,-0.3598,9.2343,Increasing,Stable or Increasing,Monthly,Mar,All
362,Kootenay / Boundary,6e-4,3.1593,Stable,Stable or Increasing,Monthly,Mar,All
363,Kootenay / Boundary,0.0138,8.6781,Stable,Stable or Increasing,Monthly,Mar,All
364,Cariboo,-0.0173,53.7363,Stable,Stable or Increasing,Monthly,Mar,All
360,South Coast,-0.0351,4.3527,Stable,Stable or Increasing,Monthly,Mar,All
388,West Coast,0.5105,4.6615,Large Rate of Decline,Large Rate of Decline,Monthly,Mar,All
373,West Coast,0.0284,0.2157,Stable,Stable or Increasing,Monthly,Mar,All
375,Thompson / Okanagan,-0.017,8.0791,Stable,Stable or Increasing,Monthly,Mar,All
365,Thompson / Okanagan,-0.0191,6.5119,Stable,Stable or Increasing,Monthly,Mar,All
366,Thompson / Okanagan,-0.3281,7.2196,Stable,Stable or Increasing,Monthly,Mar,All
378,Omineca,-0.0282,34.7206,Stable,Stable or Increasing,Monthly,Mar,All
374,Cariboo,-0.0849,38.8311,Stable,Stable or Increasing,Monthly,Mar,All
381,Thompson / Okanagan,-0.0317,6.0057,Stable,Stable or Increasing,Monthly,Mar,All
464,Thompson / Okanagan,-0.0695,5.8262,Increasing,Stable or Increasing,Monthly,Mar,All
383,West Coast,0.0087,49.5194,Stable,Stable or Increasing,Monthly,Mar,All
384,Thompson / Okanagan,-0.0088,80.0579,Stable,Stable or Increasing,Monthly,Mar,All
377,Skeena,-0.0979,25.2346,Stable,Stable or Increasing,Monthly,Mar,All
395,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
387,Thompson / Okanagan,-0.0681,5.8199,Stable,Stable or Increasing,Monthly,Mar,All
385,West Coast,0.0326,12.1505,Stable,Stable or Increasing,Monthly,Mar,All
386,Skeena,0.0525,1.0989,Moderate Rate of Decline,Moderate Rate of Decline,Monthly,Mar,All
401,Thompson / Okanagan,-0.0044,3.7234,Stable,Stable or Increasing,Monthly,Mar,All
402,Thompson / Okanagan,0.2338,10.4469,Large Rate of Decline,Large Rate of Decline,Monthly,Mar,All
406,South Coast,0.05,2.2424,Stable,Stable or Increasing,Monthly,Mar,All
389,West Coast,0.0202,2.5666,Stable,Stable or Increasing,Monthly,Mar,All
392,West Coast,-0.0696,24.6858,Increasing,Stable or Increasing,Monthly,Mar,All
393,West Coast,-0.0284,8.2139,Stable,Stable or Increasing,Monthly,Mar,All
391,West Coast,-0.029,37.7118,Stable,Stable or Increasing,Monthly,Mar,All
405,Thompson / Okanagan,0.086,17.6016,Stable,Stable or Increasing,Monthly,Mar,All
407,Thompson / Okanagan,7e-4,11.535,Stable,Stable or Increasing,Monthly,Mar,All
404,Thompson / Okanagan,0.0325,22.8442,Stable,Stable or Increasing,Monthly,Mar,All
403,Thompson / Okanagan,-0.0609,37.993,Stable,Stable or Increasing,Monthly,Mar,All
390,West Coast,-0.1232,29.865,Increasing,Stable or Increasing,Monthly,Mar,All
416,Northeast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
417,Northeast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
418,Northeast,0.0699,59.7768,Stable,Stable or Increasing,Monthly,Mar,All
420,Northeast,-2e-4,34.2122,Stable,Stable or Increasing,Monthly,Mar,All
409,Thompson / Okanagan,-0.1683,13.0331,Increasing,Stable or Increasing,Monthly,Mar,All
414,South Coast,0.1349,32.6011,Large Rate of Decline,Large Rate of Decline,Monthly,Mar,All
415,South Coast,0.1264,40.8458,Stable,Stable or Increasing,Monthly,Mar,All
474,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
423,Thompson / Okanagan,0.0101,5.4172,Stable,Stable or Increasing,Monthly,Mar,All
400,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
411,Thompson / Okanagan,-0.3883,5.6606,Stable,Stable or Increasing,Monthly,Mar,All
410,Thompson / Okanagan,0.0133,4.5678,Stable,Stable or Increasing,Monthly,Mar,All
412,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
445,Northeast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
398,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
424,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
442,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
413,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
448,South Coast,0.0256,2.5046,Stable,Stable or Increasing,Monthly,Mar,All
449,South Coast,0.025,4.1607,Stable,Stable or Increasing,Monthly,Mar,All
425,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
426,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
427,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
428,West Coast,0.0035,43.7066,Stable,Stable or Increasing,Monthly,Mar,All
429,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
430,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
431,West Coast,0.0149,18.8346,Stable,Stable or Increasing,Monthly,Mar,All
432,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
433,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
434,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
435,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
450,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
451,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
438,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
452,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
453,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
454,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
436,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
437,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
456,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
457,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
458,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
455,Omineca,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
439,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
441,South Coast,-0.0381,14.2242,Stable,Stable or Increasing,Monthly,Mar,All
460,South Coast,-0.1005,84.1405,Increasing,Stable or Increasing,Monthly,Mar,All
461,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
440,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
459,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
463,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
471,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
443,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
469,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
470,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
462,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
473,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
480,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
468,Kootenay / Boundary,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
467,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
477,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
475,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
476,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
478,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
483,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
485,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
486,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
479,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
444,Kootenay / Boundary,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
489,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
488,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
490,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
482,Northeast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
481,Northeast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
493,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
487,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
491,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
492,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
495,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
497,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
499,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
498,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
502,Omineca,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
501,Skeena,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
506,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
509,Kootenay / Boundary,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
496,Northeast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
512,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
510,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
508,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Mar,All
071,West Coast,-0.0105,6.38,Stable,Stable or Increasing,Monthly,Apr,All
228,West Coast,0.0036,5.3453,Stable,Stable or Increasing,Monthly,Apr,All
316,West Coast,0.0121,0.3839,Stable,Stable or Increasing,Monthly,Apr,All
172,Thompson / Okanagan,-0.0476,16.5986,Stable,Stable or Increasing,Monthly,Apr,All
295,West Coast,-0.2023,13.8772,Increasing,Stable or Increasing,Monthly,Apr,All
327,West Coast,-0.244,12.1761,Increasing,Stable or Increasing,Monthly,Apr,All
217,Kootenay / Boundary,-0.0059,3.3648,Stable,Stable or Increasing,Monthly,Apr,All
045,Thompson / Okanagan,-0.0125,10.1121,Stable,Stable or Increasing,Monthly,Apr,All
074,Kootenay / Boundary,-0.13,29.1305,Stable,Stable or Increasing,Monthly,Apr,All
058,West Coast,-0.0289,9.1027,Stable,Stable or Increasing,Monthly,Apr,All
060,West Coast,-0.008,9.7383,Stable,Stable or Increasing,Monthly,Apr,All
075,Thompson / Okanagan,0.0024,2.4674,Stable,Stable or Increasing,Monthly,Apr,All
080,Cariboo,-0.0084,4.9842,Stable,Stable or Increasing,Monthly,Apr,All
035,Thompson / Okanagan,0.0105,3.0956,Stable,Stable or Increasing,Monthly,Apr,All
081,Cariboo,-0.0417,6.8217,Stable,Stable or Increasing,Monthly,Apr,All
125,West Coast,0.0101,-0.033,Stable,Stable or Increasing,Monthly,Apr,All
082,Cariboo,-0.0228,10.4926,Stable,Stable or Increasing,Monthly,Apr,All
084,Omineca,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Apr,All
088,Cariboo,0.0693,12.7562,Stable,Stable or Increasing,Monthly,Apr,All
233,West Coast,-0.0815,32.5852,Increasing,Stable or Increasing,Monthly,Apr,All
089,Skeena,0.0303,31.1423,Moderate Rate of Decline,Moderate Rate of Decline,Monthly,Apr,All
061,West Coast,-0.0194,7.6687,Stable,Stable or Increasing,Monthly,Apr,All
096,Thompson / Okanagan,3e-4,4.4322,Stable,Stable or Increasing,Monthly,Apr,All
154,Thompson / Okanagan,0.0284,3.4967,Stable,Stable or Increasing,Monthly,Apr,All
152,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Apr,All
484,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Apr,All
299,South Coast,-0.0099,2.5566,Stable,Stable or Increasing,Monthly,Apr,All
115,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Apr,All
117,Thompson / Okanagan,0.0107,15.9844,Stable,Stable or Increasing,Monthly,Apr,All
118,Thompson / Okanagan,0.0223,13.7247,Stable,Stable or Increasing,Monthly,Apr,All
122,Thompson / Okanagan,-0.0155,0.9156,Stable,Stable or Increasing,Monthly,Apr,All
015,South Coast,-0.0841,12.0707,Stable,Stable or Increasing,Monthly,Apr,All
128,West Coast,-8e-4,0.7793,Stable,Stable or Increasing,Monthly,Apr,All
124,Northeast,-0.0063,19.244,Stable,Stable or Increasing,Monthly,Apr,All
326,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Apr,All
065,West Coast,-0.001,1.7201,Stable,Stable or Increasing,Monthly,Apr,All
008,South Coast,0.0236,16.4246,Stable,Stable or Increasing,Monthly,Apr,All
196,West Coast,0.0022,1.5027,Stable,Stable or Increasing,Monthly,Apr,All
002,South Coast,-0.0205,11.8917,Stable,Stable or Increasing,Monthly,Apr,All
200,Skeena,0.0752,23.0721,Stable,Stable or Increasing,Monthly,Apr,All
201,West Coast,-0.0061,6.4709,Stable,Stable or Increasing,Monthly,Apr,All
328,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Apr,All
265,West Coast,0.0068,5.0765,Stable,Stable or Increasing,Monthly,Apr,All
185,Thompson / Okanagan,0.0118,4.1759,Stable,Stable or Increasing,Monthly,Apr,All
240,West Coast,0.0769,3.313,Moderate Rate of Decline,Moderate Rate of Decline,Monthly,Apr,All
232,West Coast,0.0345,1.8349,Stable,Stable or Increasing,Monthly,Apr,All
180,Thompson / Okanagan,0.0661,6.3891,Moderate Rate of Decline,Moderate Rate of Decline,Monthly,Apr,All
397,West Coast,-0.3762,42.3788,Increasing,Stable or Increasing,Monthly,Apr,All
203,Thompson / Okanagan,0.018,23.9011,Stable,Stable or Increasing,Monthly,Apr,All
204,West Coast,0.0149,1.6263,Stable,Stable or Increasing,Monthly,Apr,All
211,West Coast,0.0296,1.8759,Stable,Stable or Increasing,Monthly,Apr,All
338,West Coast,-0.0157,31.2688,Stable,Stable or Increasing,Monthly,Apr,All
446,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Apr,All
310,West Coast,0.0296,6.6976,Stable,Stable or Increasing,Monthly,Apr,All
197,West Coast,0.0305,4.4149,Moderate Rate of Decline,Moderate Rate of Decline,Monthly,Apr,All
344,Thompson / Okanagan,0.0139,3.217,Stable,Stable or Increasing,Monthly,Apr,All
346,Thompson / Okanagan,0.01,1.8201,Stable,Stable or Increasing,Monthly,Apr,All
320,West Coast,-0.0207,23.744,Stable,Stable or Increasing,Monthly,Apr,All
236,Thompson / Okanagan,0.0771,20.5466,Stable,Stable or Increasing,Monthly,Apr,All
255,South Coast,-0.0061,2.5895,Stable,Stable or Increasing,Monthly,Apr,All
303,West Coast,0.1022,20.7433,Large Rate of Decline,Large Rate of Decline,Monthly,Apr,All
408,South Coast,0.0216,21.8064,Stable,Stable or Increasing,Monthly,Apr,All
262,Thompson / Okanagan,0.0518,54.749,Stable,Stable or Increasing,Monthly,Apr,All
258,West Coast,0.0463,8.5709,Stable,Stable or Increasing,Monthly,Apr,All
260,Cariboo,-0.0604,65.7868,Increasing,Stable or Increasing,Monthly,Apr,All
259,South Coast,0.0105,0.5724,Stable,Stable or Increasing,Monthly,Apr,All
275,South Coast,-0.0143,4.8944,Stable,Stable or Increasing,Monthly,Apr,All
261,Cariboo,0.0173,25.5718,Stable,Stable or Increasing,Monthly,Apr,All
380,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Monthly,Apr,All
321,West Coast,0.1756,6.8051,Large Rate of Decline,Large Rate of Decline,Monthly,Apr,All
290,West Coast,0.0156,0.5919,Stable,Stable or Increasing,Monthly,Apr,All
272,South Coast,-0.0261,5.5593,Stable,Stable or Increasing,Monthly,Apr,All
